ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
28589,Madhya Pradesh,Indore,Indore Central,Apartment,2,1326,113.22,8538.64,1997,Semi-Furnished,25,32,27,5,3,Low,Single,High,Play Area,North-East,Builder,Ready to Move
28590,Gujarat,Surat,Surat Suburban,Apartment,5,2347,191.67,8166.46,1997,Semi-Furnished,28,32,27,5,0,Medium,Single,Medium,"Play Area,Lift,Gym,Swimming Pool,Visitor Parking,Intercom",North-East,Agent,Ready to Move
28591,Delhi,Delhi,Delhi Suburban,Studio,4,2124,415.52,19563.31,2005,Semi-Furnished,3,12,19,2,2,Medium,Single,Low,,South,Owner,Resale
28592,Gujarat,Ahmedabad,Ahmedabad Rural,Apartment,2,963,48.95,5083.57,2003,Fully Furnished,1,9,21,0,0,Medium,None,Low,"Visitor Parking,Garden,Play Area",South-West,Builder,Ready to Move
28593,Telangana,Hyderabad,Hyderabad Suburban,Villa,3,1543,273.79,17744.21,2019,Unfurnished,21,23,5,2,1,Medium,Single,Medium,Club House,North-East,Owner,Resale
28594,Uttar Pradesh,Noida,Noida Outskirts,Independent House,2,1288,175.87,13654.12,2022,Semi-Furnished,2,5,2,4,2,Medium,Single,High,"Power Backup,Intercom,Visitor Parking,Gym,Lift,Play Area,Swimming Pool",North-West,Builder,Ready to Move
28595,Karnataka,Bangalore,Bangalore Suburban,Villa,3,2204,636.32,28871.32,1991,Fully Furnished,27,35,33,5,1,Medium,Single,High,"Intercom,Garden,Club House,Swimming Pool,Gym,Power Backup,CCTV",West,Builder,Ready to Move
28596,Rajasthan,Jaipur,Jaipur Rural,Apartment,3,1409,78.33,5559.45,2015,Unfurnished,14,15,9,3,5,Medium,Single,Medium,"Swimming Pool,Intercom,Lift,Gym,CCTV",North-East,Owner,Resale
28597,Maharashtra,Mumbai,Mumbai Suburban,Independent House,2,1094,308.77,28224.07,1991,Semi-Furnished,22,31,33,3,0,Low,None,Medium,"Gym,Lift,Club House,CCTV,Play Area,Intercom",South-East,Builder,Ready to Move
28598,Tamil Nadu,Chennai,Chennai Central,Independent House,1,710,162.27,22854.57,2018,Fully Furnished,6,7,6,1,2,Medium,Double,High,"Club House,Power Backup,Play Area,Intercom,Gym,Garden,CCTV",South-West,Builder,Ready to Move
28599,Tamil Nadu,Chennai,Chennai Prime,Independent House,4,1892,425.37,22482.42,2019,Unfurnished,14,18,5,7,1,Medium,Double,High,"Visitor Parking,Lift,Power Backup,Play Area,Gym,Intercom",East,Agent,Resale
28600,Karnataka,Bangalore,Bangalore Outskirts,Penthouse,2,1305,379.75,29099.47,2020,Semi-Furnished,24,25,4,1,1,Medium,Single,Medium,"Power Backup,Lift,Gym,Garden,Intercom,Visitor Parking,CCTV",North-East,Agent,Resale
28601,Uttar Pradesh,Lucknow,Lucknow Prime,Apartment,4,1987,215.47,10843.74,2011,Fully Furnished,23,26,13,6,1,Low,Double,Low,"Swimming Pool,Power Backup,Play Area,Gym,Garden,Visitor Parking,CCTV",North-East,Agent,Resale
28602,Karnataka,Bangalore,Bangalore Rural,Apartment,3,1210,178.45,14747.92,2018,Semi-Furnished,27,36,6,6,1,High,Single,High,,North-East,Agent,Resale
28603,Telangana,Hyderabad,Hyderabad Suburban,Apartment,5,2365,376.69,15927.82,1994,Unfurnished,20,26,30,2,4,Medium,Double,High,"Garden,Gym",South,Owner,Resale
28604,Karnataka,Bangalore,Bangalore Central,Independent House,3,1602,501.62,31312.42,2002,Semi-Furnished,19,25,22,5,2,High,None,High,"Lift,Swimming Pool,Intercom,Visitor Parking,Power Backup",South-West,Owner,Under Construction
28605,Maharashtra,Pune,Pune Outskirts,Penthouse,1,532,92.09,17310.08,1992,Semi-Furnished,1,6,32,3,5,Low,None,Medium,"Club House,CCTV,Swimming Pool,Visitor Parking,Gym,Power Backup,Lift",South-West,Builder,Resale
28606,Rajasthan,Jaipur,Jaipur Central,Independent House,2,1039,111.68,10749.22,1990,Unfurnished,5,14,34,4,3,Medium,Double,High,"Lift,Swimming Pool,CCTV,Power Backup",North-East,Builder,Ready to Move
28607,Rajasthan,Jaipur,Jaipur Outskirts,Villa,3,1294,127.18,9828.18,1992,Fully Furnished,12,17,32,0,4,Medium,Single,Medium,"Club House,Gym,Lift,Intercom,Power Backup,Garden,CCTV",North-West,Builder,Ready to Move
28608,West Bengal,Kolkata,Kolkata Central,Studio,4,1499,185.51,12375.72,2007,Semi-Furnished,1,10,17,6,0,Medium,Double,High,Visitor Parking,West,Builder,Resale
28609,Karnataka,Bangalore,Bangalore Prime,Studio,4,2031,517.25,25467.56,2010,Semi-Furnished,10,16,14,5,0,Medium,Single,Medium,"Garden,Club House,Lift,CCTV,Visitor Parking",South-East,Owner,Ready to Move
28610,Telangana,Hyderabad,Hyderabad Outskirts,Apartment,3,1403,173.46,12363.71,2016,Unfurnished,4,5,8,7,4,Low,Single,Medium,"Garden,Visitor Parking,CCTV,Gym,Club House,Swimming Pool,Power Backup",North-West,Builder,Resale
28611,Maharashtra,Mumbai,Mumbai Prime,Apartment,2,1128,415.23,36810.84,1996,Unfurnished,18,24,28,0,1,Low,None,High,,South,Builder,Ready to Move
28612,Gujarat,Surat,Surat Outskirts,Villa,2,946,94.37,9975.19,2020,Fully Furnished,7,10,4,2,0,Low,Single,High,,South-East,Agent,Ready to Move
28613,Telangana,Hyderabad,Hyderabad Central,Apartment,2,946,144.29,15252.56,1997,Unfurnished,16,23,27,5,5,Medium,Single,Low,Gym,South,Owner,Resale
28614,West Bengal,Kolkata,Kolkata Central,Apartment,3,1115,164.68,14769.35,2000,Unfurnished,24,32,24,7,0,High,Double,Low,"Play Area,Garden,Intercom,Swimming Pool,Lift,Club House",South-East,Agent,Resale
28615,Delhi,Delhi,Delhi Central,Apartment,3,1853,566.33,30562.71,2020,Unfurnished,10,15,4,2,5,High,Single,High,,North-West,Owner,Resale
28616,Uttar Pradesh,Ghaziabad,Ghaziabad Suburban,Apartment,2,1015,84.66,8340.63,2013,Semi-Furnished,0,5,11,1,0,Medium,Single,Medium,"Garden,Lift",North,Agent,Under Construction
28617,Uttar Pradesh,Ghaziabad,Ghaziabad Prime,Studio,1,707,72.82,10299.38,2020,Semi-Furnished,4,13,4,2,4,Low,Single,Low,Swimming Pool,North-West,Owner,Under Construction
28618,Maharashtra,Mumbai,Mumbai Suburban,Studio,2,1064,329.68,30984.83,1996,Fully Furnished,11,12,28,3,1,High,Single,High,"Club House,Play Area,Lift,Power Backup",South-West,Owner,Ready to Move
28619,Uttar Pradesh,Noida,Noida Outskirts,Independent House,5,2146,218.24,10169.78,1993,Fully Furnished,12,16,31,6,4,Medium,Double,Medium,"Power Backup,Club House,Swimming Pool,Lift,Intercom",East,Owner,Resale
28620,Gujarat,Ahmedabad,Ahmedabad Rural,Independent House,3,1465,92.69,6326.88,2009,Unfurnished,26,29,15,6,3,Low,Single,Low,"Swimming Pool,Garden",South-East,Agent,Ready to Move
28621,Uttar Pradesh,Noida,Noida Central,Apartment,3,1701,258.07,15171.41,1990,Semi-Furnished,29,37,34,7,1,Medium,Single,Medium,"Garden,Club House,Visitor Parking,Power Backup,CCTV,Intercom,Swimming Pool",East,Builder,Resale
28622,Uttar Pradesh,Noida,Noida Prime,Studio,3,1582,219.14,13852.36,1993,Unfurnished,2,5,31,0,1,High,Single,High,,West,Builder,Resale
28623,Telangana,Hyderabad,Hyderabad Suburban,Apartment,3,1714,245.92,14347.79,1999,Unfurnished,13,18,25,4,2,Medium,Single,High,"Power Backup,Club House,Gym,Intercom,Visitor Parking",South,Agent,Ready to Move
28624,Maharashtra,Pune,Pune Suburban,Apartment,1,666,128.33,19268.79,2003,Semi-Furnished,17,25,21,4,3,Medium,Single,Medium,"Lift,Club House",West,Owner,Resale
28625,Uttar Pradesh,Lucknow,Lucknow Suburban,Apartment,2,1526,146.25,9583.78,2005,Semi-Furnished,10,17,19,3,3,High,Single,Medium,"Lift,CCTV,Visitor Parking",North-East,Agent,Under Construction
28626,Delhi,Delhi,Delhi Rural,Apartment,3,1217,206.51,16968.49,2020,Unfurnished,5,12,4,7,1,High,Double,Medium,"Garden,Club House,Power Backup",South,Agent,Under Construction
28627,Karnataka,Bangalore,Bangalore Suburban,Apartment,2,986,228.19,23143.08,1993,Unfurnished,21,24,31,4,4,Medium,Single,High,"Swimming Pool,Club House,CCTV,Gym,Lift,Power Backup,Visitor Parking",North-East,Owner,Resale
28628,Rajasthan,Jaipur,Jaipur Prime,Independent House,3,1673,237.23,14179.91,2002,Fully Furnished,7,9,22,5,1,High,None,Low,,North-West,Agent,Ready to Move
28629,West Bengal,Kolkata,Kolkata Suburban,Apartment,4,2348,261.94,11155.75,1999,Semi-Furnished,7,11,25,1,4,Low,None,High,"Club House,Play Area,Garden",North,Builder,Ready to Move
28630,Uttar Pradesh,Ghaziabad,Ghaziabad Suburban,Villa,3,1449,202.26,13958.61,2016,Semi-Furnished,7,16,8,7,0,High,Double,Medium,"CCTV,Power Backup,Intercom",North,Builder,Under Construction
28631,Delhi,Delhi,Delhi Suburban,Apartment,4,1949,538.3,27619.26,2022,Fully Furnished,29,36,2,2,2,Medium,Single,Medium,"Power Backup,Intercom",North-West,Agent,Ready to Move
28632,Maharashtra,Pune,Pune Rural,Villa,1,640,86.34,13490.53,1993,Fully Furnished,10,13,31,0,1,High,Single,High,"Play Area,Garden,Intercom,Club House,Gym",South-East,Owner,Resale
28633,Maharashtra,Pune,Pune Suburban,Studio,3,1833,283.53,15467.99,2023,Semi-Furnished,6,10,1,5,1,Medium,None,Medium,"Intercom,Power Backup,Lift,Visitor Parking,Swimming Pool,Play Area",South,Owner,Resale
28634,Maharashtra,Nagpur,Nagpur Prime,Apartment,2,942,103.71,11009.44,2023,Semi-Furnished,8,12,1,1,1,Medium,Single,High,"Play Area,Visitor Parking,Intercom",East,Builder,Resale
28635,West Bengal,Kolkata,Kolkata Prime,Independent House,5,2389,397.27,16629.2,2005,Fully Furnished,4,10,19,7,1,Medium,Single,High,"Lift,Garden,CCTV",South-East,Builder,Ready to Move
28636,Rajasthan,Jaipur,Jaipur Suburban,Apartment,2,1060,85.63,8078.36,1992,Fully Furnished,0,7,32,3,2,Medium,None,Medium,"Gym,Play Area,Power Backup,Garden,Swimming Pool",East,Builder,Under Construction
28637,Madhya Pradesh,Indore,Indore Suburban,Apartment,2,1304,135.0,10353.06,2023,Fully Furnished,19,26,1,5,4,High,Single,Medium,"Swimming Pool,CCTV,Lift,Gym,Intercom",North,Agent,Resale
28638,Telangana,Hyderabad,Hyderabad Suburban,Independent House,3,1431,203.88,14247.11,1990,Semi-Furnished,7,10,34,4,5,Low,Single,Medium,Intercom,North,Owner,Under Construction
28639,Gujarat,Surat,Surat Central,Villa,3,1585,244.22,15408.41,1990,Fully Furnished,19,24,34,6,0,High,Double,High,"CCTV,Power Backup,Club House,Lift,Play Area",West,Owner,Ready to Move
28640,Maharashtra,Mumbai,Mumbai Suburban,Apartment,4,2100,625.35,29778.79,1992,Semi-Furnished,8,11,32,7,0,Medium,None,Medium,"Swimming Pool,CCTV,Visitor Parking,Power Backup,Garden,Intercom,Gym",North-West,Owner,Resale
28641,Delhi,Delhi,Delhi Suburban,Apartment,3,1301,394.25,30303.49,2016,Fully Furnished,10,16,8,2,2,Medium,Double,Medium,"CCTV,Power Backup,Gym,Visitor Parking",North-West,Owner,Ready to Move
28642,Karnataka,Bangalore,Bangalore Suburban,Independent House,3,1551,363.1,23410.91,2010,Semi-Furnished,13,16,14,2,4,High,Single,Low,Play Area,South-East,Owner,Ready to Move
28643,Maharashtra,Pune,Pune Rural,Apartment,3,1497,133.85,8941.22,1996,Semi-Furnished,7,9,28,3,4,Medium,None,Medium,"Swimming Pool,Lift,Visitor Parking,Garden,Intercom,Gym,Play Area",South,Builder,Ready to Move
28644,Karnataka,Bangalore,Bangalore Outskirts,Independent House,4,2067,442.04,21385.8,2004,Fully Furnished,0,5,20,5,3,High,Single,High,"CCTV,Swimming Pool,Gym,Club House,Play Area",South-East,Agent,Resale
28645,Karnataka,Bangalore,Bangalore Suburban,Independent House,3,1580,360.99,22847.27,1993,Fully Furnished,25,32,31,7,3,Low,Double,Medium,"Visitor Parking,Swimming Pool",North-East,Builder,Resale
28646,Tamil Nadu,Chennai,Chennai Prime,Apartment,2,1548,289.86,18724.83,2014,Semi-Furnished,14,21,10,1,1,Medium,Single,High,"Garden,Visitor Parking",South-East,Builder,Under Construction
28647,Maharashtra,Mumbai,Mumbai Central,Independent House,3,1840,736.64,40034.88,2004,Unfurnished,22,31,20,1,4,Medium,Double,Medium,"Swimming Pool,Garden,Club House,Play Area,Power Backup,CCTV,Intercom",North-West,Builder,Ready to Move
28648,Delhi,Delhi,Delhi Central,Studio,2,1459,434.25,29763.21,2009,Semi-Furnished,5,7,15,4,4,Medium,Single,Medium,"Garden,Intercom,Visitor Parking,Swimming Pool,Lift,Gym,CCTV",South,Builder,Ready to Move
28649,Karnataka,Bangalore,Bangalore Suburban,Apartment,4,1974,426.56,21609.07,1990,Fully Furnished,15,23,34,0,1,Medium,Single,High,"Club House,Power Backup,Lift",South-East,Owner,Under Construction
28650,Delhi,Delhi,Delhi Suburban,Studio,4,2394,582.32,24323.98,2005,Semi-Furnished,16,20,19,3,5,Low,Single,High,"Swimming Pool,CCTV",West,Owner,Ready to Move
28651,Gujarat,Surat,Surat Rural,Apartment,1,780,40.93,5247.65,2011,Unfurnished,3,8,13,7,5,High,Single,Low,"Swimming Pool,Lift,Club House,Visitor Parking",South,Builder,Ready to Move
28652,West Bengal,Kolkata,Kolkata Suburban,Independent House,3,1645,168.12,10219.79,1990,Unfurnished,23,32,34,1,0,Medium,Double,Medium,Intercom,East,Owner,Under Construction
28653,Uttar Pradesh,Ghaziabad,Ghaziabad Suburban,Apartment,2,1113,127.4,11446.91,2003,Fully Furnished,15,20,21,6,1,High,Single,Medium,"Lift,Swimming Pool,Garden,Visitor Parking,Club House,Gym,Power Backup",North,Builder,Under Construction
28654,Delhi,Delhi,Delhi Suburban,Apartment,3,1528,343.9,22506.45,2022,Unfurnished,1,5,2,2,5,Medium,None,Low,Gym,South,Agent,Ready to Move
28655,Delhi,Delhi,Delhi Prime,Studio,1,533,137.5,25796.98,1991,Semi-Furnished,6,9,33,6,4,Medium,Single,Medium,Lift,North-West,Owner,Ready to Move
28656,West Bengal,Kolkata,Kolkata Suburban,Villa,2,1023,138.46,13534.8,1997,Semi-Furnished,15,20,27,0,5,Low,Single,High,"Garden,Gym,Visitor Parking,Swimming Pool",North-East,Builder,Ready to Move
28657,Uttar Pradesh,Noida,Noida Outskirts,Apartment,2,771,88.8,11517.39,1990,Semi-Furnished,17,25,34,7,4,Medium,Single,High,"Power Backup,Garden,Intercom,Visitor Parking",South,Agent,Ready to Move
28658,Maharashtra,Pune,Pune Outskirts,Apartment,1,588,68.18,11595.83,1992,Semi-Furnished,20,23,32,1,4,Medium,Double,Medium,"Lift,CCTV,Club House,Garden",North-West,Owner,Resale
28659,Madhya Pradesh,Indore,Indore Rural,Apartment,3,2051,89.75,4375.99,2004,Fully Furnished,3,10,20,7,4,Low,None,Medium,"Visitor Parking,Power Backup,Club House,CCTV,Swimming Pool",North,Builder,Ready to Move
28660,Uttar Pradesh,Ghaziabad,Ghaziabad Outskirts,Apartment,2,1112,98.12,8823.97,2022,Unfurnished,4,12,2,4,5,Medium,Single,Medium,"Power Backup,Gym,CCTV,Lift,Intercom",North,Builder,Resale
28661,Karnataka,Bangalore,Bangalore Central,Apartment,1,638,160.98,25232.53,2007,Semi-Furnished,2,11,17,3,3,Medium,Single,Low,"Intercom,Power Backup,Garden,Club House,Swimming Pool,Lift",North-East,Builder,Ready to Move
28662,Uttar Pradesh,Noida,Noida Suburban,Apartment,4,2020,330.35,16354.15,2016,Semi-Furnished,4,13,8,7,4,Medium,Single,Medium,"Garden,Visitor Parking,Swimming Pool",South-West,Agent,Resale
28663,Maharashtra,Mumbai,Mumbai Suburban,Apartment,5,1740,514.6,29574.83,2014,Fully Furnished,8,16,10,6,3,Low,Single,Medium,Lift,South,Agent,Resale
28664,Maharashtra,Mumbai,Mumbai Suburban,Apartment,2,1353,366.33,27075.25,1993,Unfurnished,11,19,31,2,5,Medium,None,Medium,Swimming Pool,North-East,Builder,Under Construction
28665,Karnataka,Bangalore,Bangalore Suburban,Apartment,1,653,153.47,23502.08,2013,Fully Furnished,19,22,11,7,0,Medium,Single,High,"Club House,Play Area,CCTV,Power Backup",North,Builder,Under Construction
28666,Gujarat,Ahmedabad,Ahmedabad Central,Apartment,3,1432,206.28,14404.9,2001,Fully Furnished,1,5,23,7,2,Medium,Double,High,"Intercom,Power Backup,Play Area,Club House,Swimming Pool,CCTV,Lift",North-West,Agent,Under Construction
28667,Gujarat,Ahmedabad,Ahmedabad Suburban,Apartment,1,814,80.21,9854.31,2011,Unfurnished,27,36,13,1,1,Medium,Single,Medium,"Swimming Pool,Power Backup,CCTV,Visitor Parking,Intercom,Garden",North-West,Builder,Resale
28668,Delhi,Delhi,Delhi Prime,Apartment,2,1174,420.23,35794.75,2007,Fully Furnished,16,22,17,1,2,Low,Single,Medium,"Visitor Parking,CCTV,Intercom,Play Area,Power Backup,Swimming Pool,Club House",East,Builder,Resale
28669,Madhya Pradesh,Indore,Indore Suburban,Apartment,1,742,65.04,8765.87,2002,Fully Furnished,8,16,22,2,4,Medium,Single,High,"Club House,Visitor Parking,Swimming Pool,CCTV,Lift,Play Area,Garden",West,Agent,Ready to Move
28670,Maharashtra,Mumbai,Mumbai Outskirts,Independent House,5,3231,925.12,28632.59,2010,Semi-Furnished,28,36,14,0,4,Medium,Single,Medium,"Intercom,Swimming Pool,Club House,Visitor Parking,CCTV,Lift,Play Area",North-West,Builder,Ready to Move
28671,Uttar Pradesh,Ghaziabad,Ghaziabad Suburban,Independent House,2,950,82.34,8666.89,2008,Unfurnished,6,15,16,6,1,Medium,Double,Medium,,West,Owner,Resale
28672,Telangana,Hyderabad,Hyderabad Prime,Apartment,2,1312,314.01,23934.05,2023,Unfurnished,0,6,1,2,5,Medium,Single,High,"Intercom,Swimming Pool,Club House,Gym,Play Area,Lift,Power Backup",South-West,Builder,Under Construction
28673,Delhi,Delhi,Delhi Rural,Apartment,4,1605,266.4,16598.41,2012,Unfurnished,6,9,12,4,2,High,Double,High,"Garden,Play Area,Visitor Parking,Power Backup,CCTV,Swimming Pool",South-East,Agent,Resale
28674,Uttar Pradesh,Noida,Noida Suburban,Independent House,3,1712,256.18,14963.53,2008,Fully Furnished,20,27,16,3,0,High,Single,Low,Garden,South-East,Owner,Resale
28675,Maharashtra,Mumbai,Mumbai Suburban,Villa,3,1347,516.59,38351.51,1994,Fully Furnished,20,22,30,2,0,Low,Single,High,"Club House,Play Area,Power Backup,Garden,Lift,CCTV,Visitor Parking",West,Owner,Ready to Move
28676,Delhi,Delhi,Delhi Rural,Apartment,2,1035,173.39,16752.38,2015,Unfurnished,7,8,9,3,3,High,Double,Medium,"Power Backup,CCTV,Visitor Parking,Swimming Pool,Play Area,Club House,Lift",South-East,Builder,Under Construction
28677,Telangana,Hyderabad,Hyderabad Outskirts,Apartment,2,1030,139.45,13538.99,2001,Semi-Furnished,2,11,23,7,4,High,Single,Medium,,South-East,Builder,Resale
28678,Maharashtra,Mumbai,Mumbai Suburban,Apartment,5,2744,899.61,32784.62,2010,Semi-Furnished,24,28,14,7,2,Low,Double,Medium,"Lift,CCTV,Club House,Power Backup",South,Agent,Ready to Move
28679,Tamil Nadu,Chennai,Chennai Suburban,Apartment,3,1457,231.69,15902.03,2016,Fully Furnished,4,6,8,7,4,High,Double,Low,"Club House,CCTV,Swimming Pool",North-East,Builder,Ready to Move
28680,Telangana,Hyderabad,Hyderabad Suburban,Apartment,2,1278,249.9,19554.09,2022,Fully Furnished,8,12,2,0,4,Medium,Single,Medium,"Gym,Garden,Play Area,Visitor Parking",North,Builder,Under Construction
28681,Karnataka,Bangalore,Bangalore Central,Apartment,2,1072,246.63,23006.55,1990,Unfurnished,21,28,34,1,2,High,Single,Low,"Garden,Power Backup",West,Builder,Ready to Move
28682,Karnataka,Bangalore,Bangalore Prime,Independent House,2,1278,460.56,36037.64,2013,Fully Furnished,0,7,11,2,1,High,None,High,,East,Builder,Ready to Move
28683,Delhi,Delhi,Delhi Suburban,Apartment,2,1153,277.74,24088.5,1994,Unfurnished,18,21,30,5,1,Medium,Double,High,Gym,South-West,Owner,Under Construction
28684,Maharashtra,Mumbai,Mumbai Outskirts,Apartment,3,1712,505.17,29507.45,2009,Fully Furnished,12,19,15,7,4,Medium,Single,Medium,"Intercom,Play Area,Club House",East,Owner,Ready to Move
28685,Delhi,Delhi,Delhi Suburban,Apartment,3,1158,260.89,22529.76,1996,Fully Furnished,20,24,28,6,2,Low,Single,Low,"Swimming Pool,Intercom,Gym,Lift,CCTV,Club House",North-East,Builder,Ready to Move
28686,West Bengal,Kolkata,Kolkata Prime,Apartment,3,1407,244.09,17348.12,2008,Unfurnished,3,10,16,6,5,High,Single,High,Play Area,North-West,Owner,Resale
28687,Uttar Pradesh,Noida,Noida Suburban,Studio,1,593,71.54,12064.28,2015,Fully Furnished,21,27,9,0,3,Medium,Single,Low,"Play Area,CCTV",South-East,Agent,Resale
28688,Telangana,Hyderabad,Hyderabad Suburban,Apartment,2,1010,138.57,13719.5,1997,Unfurnished,1,8,27,0,0,Medium,Single,Medium,"Intercom,CCTV,Club House",East,Agent,Ready to Move
28689,Telangana,Hyderabad,Hyderabad Central,Apartment,5,1991,321.35,16140.05,1997,Fully Furnished,2,11,27,5,0,Medium,Single,Low,"Swimming Pool,Lift,Club House,Play Area",West,Owner,Resale
28690,Karnataka,Bangalore,Bangalore Outskirts,Apartment,4,2040,308.29,15112.06,1991,Semi-Furnished,26,28,33,0,0,Low,Single,Low,"Lift,Swimming Pool,Power Backup,Visitor Parking,Gym,Garden,Intercom",South-West,Owner,Ready to Move
28691,Karnataka,Bangalore,Bangalore Prime,Independent House,3,1437,438.02,30481.9,2008,Semi-Furnished,12,19,16,0,0,Low,None,High,"Visitor Parking,Gym,Play Area,Power Backup,Club House,Lift",South-East,Agent,Under Construction
28692,Telangana,Hyderabad,Hyderabad Rural,Apartment,2,958,104.12,10868.86,2013,Semi-Furnished,21,28,11,4,4,High,Single,High,Garden,East,Builder,Ready to Move
28693,Tamil Nadu,Chennai,Chennai Central,Apartment,2,1228,200.51,16328.22,2012,Semi-Furnished,26,34,12,3,3,Medium,Single,Low,"Play Area,Intercom",South,Builder,Ready to Move
28694,Karnataka,Bangalore,Bangalore Central,Independent House,3,1343,321.61,23946.84,1994,Unfurnished,10,19,30,7,1,High,Single,Medium,"Intercom,Lift,Gym,Swimming Pool,Club House",West,Owner,Ready to Move
28695,Delhi,Delhi,Delhi Outskirts,Apartment,1,629,115.5,18363.15,1996,Fully Furnished,0,5,28,0,2,High,None,Low,Play Area,South-East,Agent,Under Construction
28696,Delhi,Delhi,Delhi Suburban,Penthouse,3,1464,497.7,33996.23,1997,Semi-Furnished,10,14,27,2,5,High,Single,Medium,"Gym,Visitor Parking,Intercom,Swimming Pool,Club House,Play Area,CCTV",East,Owner,Under Construction
28697,Gujarat,Surat,Surat Rural,Apartment,2,1224,57.7,4713.91,2023,Unfurnished,20,29,1,4,2,Low,Single,High,"Play Area,Swimming Pool,CCTV",South,Agent,Resale
28698,Madhya Pradesh,Indore,Indore Suburban,Studio,4,1780,110.59,6212.79,2008,Unfurnished,9,16,16,1,3,Medium,Single,Medium,Visitor Parking,West,Agent,Resale
28699,Madhya Pradesh,Indore,Indore Central,Independent House,2,1172,83.02,7083.28,1993,Unfurnished,3,7,31,3,1,Low,Single,Low,"Power Backup,Swimming Pool,Gym,Intercom",South-West,Agent,Ready to Move
28700,Uttar Pradesh,Lucknow,Lucknow Central,Apartment,5,2189,237.84,10865.37,2022,Fully Furnished,14,22,2,5,5,High,Single,Low,,North-West,Builder,Ready to Move
28701,Maharashtra,Pune,Pune Suburban,Independent House,1,847,186.39,22006.19,2022,Fully Furnished,23,27,2,1,4,Medium,Single,Medium,"Swimming Pool,Garden,CCTV,Lift,Club House,Play Area,Power Backup",South,Agent,Ready to Move
28702,Rajasthan,Jaipur,Jaipur Suburban,Apartment,3,1126,107.13,9514.43,2010,Unfurnished,9,16,14,7,4,Medium,Double,High,"Intercom,Play Area",West,Owner,Under Construction
28703,Gujarat,Surat,Surat Suburban,Independent House,4,2529,280.58,11094.62,2021,Fully Furnished,2,11,3,3,3,High,Single,High,Intercom,North-East,Builder,Resale
28704,Gujarat,Ahmedabad,Ahmedabad Outskirts,Apartment,2,1028,88.64,8622.89,1994,Fully Furnished,0,7,30,7,3,High,None,Medium,"CCTV,Visitor Parking,Garden",North,Builder,Ready to Move
28705,Maharashtra,Pune,Pune Outskirts,Villa,2,715,108.06,15113.8,2005,Unfurnished,23,32,19,2,3,Medium,Single,Low,"Lift,CCTV,Visitor Parking,Gym",South,Owner,Under Construction
28706,Uttar Pradesh,Ghaziabad,Ghaziabad Central,Penthouse,1,649,81.92,12622.42,2018,Unfurnished,4,7,6,7,3,Low,Single,Low,"Power Backup,Garden,Intercom,Club House",East,Owner,Resale
28707,West Bengal,Kolkata,Kolkata Suburban,Independent House,2,962,113.32,11779.11,2006,Semi-Furnished,1,10,18,0,3,Medium,Single,Medium,"Garden,Play Area,Swimming Pool,Visitor Parking,CCTV",South-West,Agent,Resale
28708,Gujarat,Ahmedabad,Ahmedabad Suburban,Studio,4,1894,193.29,10205.47,2011,Fully Furnished,29,37,13,6,3,Medium,Single,Medium,"Club House,Play Area,CCTV",North-East,Owner,Ready to Move
28709,Maharashtra,Pune,Pune Suburban,Independent House,4,1943,370.42,19064.54,1994,Semi-Furnished,27,29,30,2,5,High,Single,Low,"Play Area,Gym,Club House,Intercom,Swimming Pool,Power Backup,Garden",North-East,Owner,Ready to Move
28710,Maharashtra,Mumbai,Mumbai Rural,Apartment,2,1049,210.93,20107.77,2019,Fully Furnished,26,27,5,3,2,High,Single,Medium,,West,Agent,Resale
28711,Rajasthan,Jaipur,Jaipur Suburban,Independent House,3,2110,213.35,10111.19,2000,Semi-Furnished,12,16,24,1,0,Medium,Double,Medium,"Visitor Parking,Intercom",West,Agent,Resale
28712,Gujarat,Ahmedabad,Ahmedabad Suburban,Apartment,2,1393,151.15,10851.0,2023,Semi-Furnished,7,15,1,0,5,High,Single,Low,"Gym,Lift,Play Area",North-West,Owner,Ready to Move
28713,Maharashtra,Pune,Pune Suburban,Studio,3,1633,245.54,15036.33,1991,Semi-Furnished,21,22,33,2,5,Medium,Single,High,CCTV,North,Agent,Resale
28714,Maharashtra,Mumbai,Mumbai Prime,Independent House,3,1363,769.45,56452.93,2014,Fully Furnished,28,31,10,6,3,Medium,Single,Medium,"Play Area,Gym",North-East,Agent,Ready to Move
28715,Tamil Nadu,Chennai,Chennai Rural,Villa,2,1096,130.85,11938.75,2009,Semi-Furnished,14,21,15,6,5,Medium,Double,Medium,"Visitor Parking,Club House,Lift,Swimming Pool,Gym",South-West,Builder,Resale
28716,Maharashtra,Pune,Pune Prime,Independent House,2,1039,244.21,23504.78,2003,Unfurnished,6,13,21,1,3,High,Single,High,"Play Area,Intercom,Swimming Pool,CCTV",North,Builder,Resale
28717,Uttar Pradesh,Noida,Noida Central,Independent House,2,800,132.5,16562.03,1992,Semi-Furnished,19,26,32,7,1,Low,Single,Medium,"Swimming Pool,Garden,Intercom,CCTV,Power Backup,Lift,Visitor Parking",South,Owner,Resale
